Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2002-9535-GMB,2002,9535,,Natural,Climatological,Drought,Drought,,,Gambia (the),GMB,Western Africa,Africa,"NO DATA: all country selected: Central River, Kanifing Municipal Council, Lower River, North Bank, Upper River, West Coast provinces",Insufficient rains,Food shortage,,,Yes,,,,Km2,,,,,2002,5,,2002,,,,,,,,,,,,,,66.3819637,1,1285;1287;1288;1289;1290;112869,,"Central River, Kanifing Municipal Council, Lower River, North Bank, Upper River, West Coast (Adm1)."
2002-9707-MDG,2002,9707,,Natural,Climatological,Drought,Drought,,,Madagascar,MDG,Eastern Africa,Africa,"Amoron I Mania, Androy, Anosy, Atsimo Andrefana, Atsimo Atsinanana, Haute Matsiatra, Ihorombe, Menabe, Vatovavy Fitovinany provinces (South regions)",,Famine,,,,,,,Km2,,,,,2002,11,,2004,,,,,600000,,600000,,,,,,,66.3819637,1,41751;41754;41755;41756;41757;41763;41764;41767;41771,,"Amoron I Mania, Androy, Anosy, Atsimo Andrefana, Atsimo Atsinanana, Haute Matsiatra, Ihorombe, Menabe, Vatovavy Fitovinany (Adm1)."
2002-9124-MWI,2002,9124,,Natural,Climatological,Drought,Drought,,,Malawi,MWI,Eastern Africa,Africa,"Balaka, Blantyre, Chikwawa, Machinga, Mangochi, Mulanje, Nsanje, Phalombe, Thyolo, Zomba districts (Southern Region Province)",,Famine,,,Yes,Yes,,,Km2,,,,,2002,2,,2002,,,500,,2829435,,2829435,,,,,,,66.3819637,2,,19321;19322;19325;19328;19329;19330;42174;42175;42176;42177,"Balaka, Blantyre, Chikwawa, Machinga, Mangochi, Mulanje, Nsanje, Phalombe, Thyolo, Zomba (Adm2)."
2002-9332-GNB,2002,9332,,Natural,Climatological,Drought,Drought,,,Guinea-Bissau,GNB,Western Africa,Africa,"All country: Gabu, Bafata (mainly affected provinces in North-eastern), Biombo, Bolama/bijagos, Cacheu, Oio, Quinara, Sector Autonomo De Bissau, Tombali provinces",,,,,,,,,Km2,,,,,2002,5,,2002,5,,,,100000,,100000,,,,,,,66.3819637,1,1385;1386;1387;1388;1389;1390;1391;1392;1393,,"Bafata, Biombo, Bolama/bijagos, Cacheu, Gabu, Oio, Quinara, Sector Autonomo De Bissau, Tombali (Adm1)."
2001-9044-TCD,2001,9044,,Natural,Climatological,Drought,Drought,,,Chad,TCD,Middle Africa,Africa,"Guera, Biltine, Ouaddaï, Assongha, Batha-Est, Batha-ouest provinces",,Food shortage,,Yes,,,,,Km2,,,,,2001,1,,2001,,,,,800000,,800000,,,,,,,65.34555871,1,870;873;12904;12905;12926;12927,,"Assongha, Batha Est, Batha Ouest, Biltine, Guera, Ouaddai (Adm1)."
2001-9044-NER,2001,9044,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"Ibanka, Rouafi I, Rouafi II, Chinagamane villages (Filingue district, Tillaberi province), Sabara I (Dogondoutchi district, Dosso province), Sabara II (Niamey province), Ayawa (Ouallam district, Tillaberi province), Kabefo (Tillaberi district, Tillaberi province), Dinkihmi villages (not found).",,Famine,,,,Yes,,,Km2,,,,,2001,4,,2002,,,,,3584558,,3584558,,,,,,,65.34555871,1,2204;2206;2208,,"Dosso, Niamey, Tillaberi (Adm1)."
2001-9854-NAM,2001,9854,,Natural,Climatological,Drought,Drought,,,Namibia,NAM,Southern Africa,Africa,"Otjovanatje, Otjorute, Okapundja, Otjekwa, Okaurukwa locations (Ruacana district, Omusati province)",,,,,,,,,Km2,,,,,2001,1,,2001,,,,,,,,,,,,,,65.34555871,2,,22320,Ruacana (Adm2).
2001-9122-SWZ,2001,9122,,Natural,Climatological,Drought,Drought,,,Eswatini,SWZ,Southern Africa,Africa,"Lomahasha, Lugongolweni, Tikhuba districts (Lubombo province), Madlangampisi, Mhlangatane, Ndzingeni districts (Hhohho province), Dvokodvweni, Hlane, Lubuli, Mhlume, Mpolonjeni, Nkilongo, Siphofaneni, Sithobela districts (Lubombo province), Mafutseni, Mkhiweni districts (Manzini province), Lavumisa, Matsanjeni, Sigwe districts (Shiselweni province), Lobamba, Mayiwane, Ntfonjeni, Timpisini districts (Hhohho province), Kuhanyeni, Kwaluseni, Ludzeludze, Mahlanya, Manzini, Mthongwaneni, Nhlambeni districts (Manzini province), Hosea, Kubuta, Maseyisini, Mbangweni, Mtsambama, Sandleni, Shiselweni 1, Zombodze districts (Shiselweni province)",Poor agro-climaic conditions,,,,,Yes,,,Km2,,,,,2001,,,2004,,,,,970000,,970000,,,,,,,65.34555871,2,,25944;25945;25947;25949;25951;25953;25955;25956;25957;25958;25959;25960;25961;25962;25963;25964;25965;25966;25967;25968;25970;25971;25973;25975;25977;25978;25980;25983;25984;25985;25986;25987;25988;25989;25992;25993;25994;25995,"Dvokodvweni, Hlane, Hosea, Kubuta, Kukhanyeni, Kwaluseni, Lavumisa, Lobamba, Lomahasha, Lubuli, Ludzeludze, Lugongolweni, Madlangampisi, Mafutseni, Mahlanya, Manzini, Maseyisini, Matsanjeni, Mayiwane, Mbangweni, Mhlangatane, Mhlume, Mkhiweni, Mpolonjeni, Mthongwaneni, Mtsambama, Ndzingeni, Nhlambeni, Nkilongo, Ntfonjeni, Sandleni, Shiselweni 1, Sigwe, Siphofaneni, Sithobela, Tikhuba, Timpisini, Zombodze (Adm2)."
2001-9122-ZWE,2001,9122,,Natural,Climatological,Drought,Drought,,,Zimbabwe,ZWE,Eastern Africa,Africa,"Kwekwe, Gokwe South, Zvishavane, Shurugwi, Gweru, Mberengwa, Gokwe North districts (Midlands province), Mvuma city (Chirumhanzu district, Midlands province), Chipinge district (Manicaland province), Gwanda, Umzingwane, Matobo districts (Matabeleland South province), Chiredzi, Chivi, Masvingo districts (Masvingo province), Hwange, Tsholotsho districts (Matabeleland North province), Kariba district (Mashonaland West province), Guruve district (Mashonaland Central province)",,,,,,,,,Km2,,,,,2001,3,,2003,,,,,6000000,,6000000,,,,,,,65.34555871,2,,33055;33078;33082;33083;33085;33093;33097;33099;33100;33101;33103;33104;33105;33106;33107;40750;40751;61705;68808,"Chipinge, Chiredzi, Chirumhanzu, Chivi, Gokwe North, Gokwe South, Guruve, Gwanda, Gweru, Hwange, Kariba, Kwekwe, Masvingo, Matobo, Mberengwa, Shurugwi, Tsholotsho, Umzingwane, Zvishavane (Adm2)."
2002-9852-UGA,2002,9852,,Natural,Climatological,Drought,Drought,,,Uganda,UGA,Eastern Africa,Africa,"Kaabong, Kotido, Abim, Moroto, Nakapiripirit provinces (Karamoja region)",,Food shortage,,,,,,,Km2,,,,,2002,6,,2002,,,79,,655000,,655000,,,,,,,66.3819637,1,743;765;772;773;47074,,"Abim, Kaabong, Kotido, Moroto, Nakapiripirit (Adm1)."
2002-9022-NAM,2002,9022,,Natural,Climatological,Drought,Drought,,,Namibia,NAM,Southern Africa,Africa,"Otjozondjupa, Oshikoto, Oshana, Omusati, Ohangwena, Kunene, Kavango, Caprivi provinces (North)",,,,,,,,,Km2,,,,,2002,7,,2003,,,,,345000,,345000,,,,,,,66.3819637,1,2137;2141;2143;2144;2146;2147;2148;2149,,"Caprivi, Kavango, Kunene, Ohangwena, Omusati, Oshana, Oshikoto, Otjozondjupa (Adm1)."
2002-9487-SEN,2002,9487,,Natural,Climatological,Drought,Drought,,,Senegal,SEN,Western Africa,Africa,"NO DATA: all country was selected: Dakar, Diourbel, Fatick, Kaffrine, Kaolack, Kedougou, Kolda, Louga, Matam, Saint Louis, Sedhiou, Tambacounda, Thies, Ziguinchor provinces",,,,,,,,,Km2,,,,,2002,8,,2002,,,,,284000,,284000,,,,,,,66.3819637,1,1373;1374;1375;1376;1377;1378;2636;2644;2645;47585;47586;47587;47588;47589,,"Dakar, Diourbel, Fatick, Kaffrine, Kaolack, Kedougou, Kolda, Louga, Matam, Saint louis, Sedhiou, Tambacounda, Thies, Ziguinchor (Adm1)."
2003-9651-BDI,2003,9651,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Kirundo, Muyinga, Ngozi, Kayanza, Muramvya, Bujumbura Rural, Ruyigi, Gitega, Bubanza, Makamba provinces",,,,,,,,,Km2,,,,,2003,9,,2004,,,,,,,,,,,,,,67.88889569,1,40542;40544;40548;40550;40551;40552;40553;40554;40556;40558,,"Bubanza, Bujumbura Rural, Gitega, Kayanza, Kirundo, Makamba, Muramvya, Muyinga, Ngozi, Ruyigi (Adm1)."
2004-9480-AGO,2004,9480,,Natural,Climatological,Drought,Drought,,,Angola,AGO,Middle Africa,Africa,"Cunene, Cuanza-Sul provinces",,Food shortage,,,,,,,Km2,,,,,2004,9,,2005,,,,,25000,,25000,,,,,,,69.70644216,1,403;404,,"Cuanza Sul, Cunene (Adm1)."
2003-9772-ETH,2003,9772,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Tigray, Oromia, Amhara, Somali, Afar provinces","Crop failure, lack pasture, poor/erratic long rains",,,,,,,,Km2,,,,,2003,,,2004,,,,,12600000,,12600000,,,,,,,67.88889569,1,1228;1229;1237;47678;47679,,"Afar, Amhara, Oromia, Somali, Tigray (Adm1)."
2004-9288-KEN,2004,9288,,Natural,Climatological,Drought,Drought,,,Kenya,KEN,Eastern Africa,Africa,"Kitui, Mbeere, Mwingi, Marsabit districts (Eastern province), Turkana, Kajiado, Narok districts (Rift Valley province), Mandera, Wajir, Garissa, Ijara districts (North Eastern province), Tana river, Kilifi, Kwale, Taita Taveta, Malindi districts (Coast province), Nyanza, Central provinces",Poor rainfall,Crop failure,Food shortage,,,,,,Km2,,,,,2004,7,,2004,,,80,,2300000,,2300000,,,,,,,69.70644216,1;2,51325;51330,51340;51341;51343;51345;51346;51349;51352;51353;51358;51361;51362;51363;51364;51380;51388;51392,"Central, Nyanza (Adm1). Garissa, Ijara, Kajiado, Kilifi, Kitui, Kwale, Malindi, Mandera, Marsabit, Mbeere, Mwingi, Narok, Taita Taveta, Tana River, Turkana, Wajir (Adm2)."
2003-9035-MOZ,2003,9035,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,"Magoe, Zumbu, Cahora Bassa, Changara, Moatize, Chiuta, Mutarara districts (Tete province)",,,,,,,,,Km2,,,,,2003,1,,2003,1,,9,,119500,,119500,,,,,,,67.88889569,2,,21935;21936;21938;21940;21942;21943;21945,"Cahora Bassa, Changara, Chiuta, Magoe, Moatize, Mutarara, Zumbu (Adm2)."
2003-9651-RWA,2003,9651,,Natural,Climatological,Drought,Drought,,,Rwanda,RWA,Eastern Africa,Africa,"Gatsibo, Nyagatare, Bugesera district (East/Iburasirazuba province), Kibungo city (Ngoma district, East/Iburasirazuba province), Gisagara, Huye, Nyanza, Nyamagabe, Nyaruguru, Kamonyi, Muhanga, Ruhango districts (South/Amajyepfo province)",,,,,,,,,Km2,,,,,2003,3,,2007,,,,,1000000,,1000000,,,,,,,67.88889569,2,,21974;21978;21980;21981;21982;21987;21989;21992;21993;21995;21997;21999,"Bugesera, Gatsibo, Gisagara, Huye, Kamonyi, Muhanga, Ngoma, Nyagatare, Nyamagabe, Nyanza, Nyaruguru, Ruhango (Adm2)."
2003-9651-TZA,2003,9651,,Natural,Climatological,Drought,Drought,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kaskazini Unguja, Mjini Magharibi, Kusini Unguja, Singida, Dodoma, Shinyanga, Mwanza, Tabora, Kagera, Kigoma provinces",,,,,,,,,Km2,,,,,2003,8,,2004,,,,,1900000,,1900000,,,,,,,67.88889569,1,48359;48362;48372;48377;48379;48380;48382;115004;115006;115009,,"Dodoma, Kagera, Kaskazini Unguja, Kigoma, Kusini Unguja, Mjini Magharibi, Mwanza, Shinyanga, Singida, Tabora (Adm1)."
2004-9085-SOM,2004,9085,,Natural,Climatological,Drought,Drought,,,Somalia,SOM,Eastern Africa,Africa,"Sool, Sanaag, Togdheer, Nugaal, Galgaduud, Hiraan, Mudug, Bari provinces",,Food shortage,,,,,,,Km2,,,,,2004,1,,2004,1,,,,200000,,200000,,,,,,,69.70644216,1,2690;2693;2695;2700;2701;2702;2703;2704,,"Bari, Galgaduud, Hiraan, Mudug, Nugaal, Sanaag, Sool, Togdheer (Adm1)."
2004-9577-TZA,2004,9577,,Natural,Climatological,Drought,Drought,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Arusha, Kilimanjaro, Manyara, Tanga provinces (Northern Highlands region), Pwani, Dar-es-salaam provinces (Northern Coast region).",,Food shortage,,,,,,,Km2,,,,,2004,10,,2004,,,,,254000,,254000,,,,,,,69.70644216,1,48357;48358;48363;48365;48373;48381,,"Arusha, Dar-es-salaam, Kilimanjaro, Manyara, Pwani, Tanga (Adm1)."
2004-9017-ZAF,2004,9017,,Natural,Climatological,Drought,Drought,,,South Africa,ZAF,Southern Africa,Africa,"KwaZulu-Natal, Eastern Cape, Northern Cape, Mpumalanga, North-West, Free state, Limpopo provinces",,,,,,Yes,,,Km2,,,,,2004,1,,2004,,,,,15000000,,15000000,,,,,,,69.70644216,1,2707;77310;77311;77312;77313;77314;77315,,"Eastern Cape, Free State, KwaZulu-Natal, Limpopo, Mpumalanga, North West, Northern Cape (Adm1)."
2005-9067-BDI,2005,9067,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Busoni, Bugabira, Ntega, Kirundo districts (Kirundo province), Ruyigi, Cankuzo, Rutana, Muyinga provinces","Lack of rain, prolonged dry season",Crop failure,Famine,,Yes,Yes,,,Km2,,,,,2005,1,,2006,1,,120,,2150000,,2150000,,,,,,,72.07141045,1;2,40546;40554;40557;40558,40638;40639;40642;40643,"Cankuzo, Muyinga, Rutana, Ruyigi (Adm1). Bugabira, Busoni, Kirundo, Ntega (Adm2)."
2005-9747-ETH,2005,9747,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Afder, Liben districts (Somali province), Gode zones (Shabelle district, Somali province), Borena district (Oromiya province)",Successive failed rainy seasons,Food shortage,,,,,,,Km2,,,,,2005,11,,2006,,,,,2600000,,2600000,,,,,,,72.07141045,2,,40841;40844;47688;47709,"Afder, Borena, Liben, Shabelle (Adm2)."
2005-9238-CMR,2005,9238,,Natural,Climatological,Drought,Drought,,,Cameroon,CMR,Middle Africa,Africa,Logone-Et-Chari disctrict (Extrème-Nord province),,Famine,,,,,,,Km2,,,,,2005,3,,2005,5,,,,,,,,,,,,,72.07141045,2,,12482,Logone - Et - Chari (Adm2).
2005-9213-DJI,2005,9213,,Natural,Climatological,Drought,Drought,,,Djibouti,DJI,Eastern Africa,Africa,"Tadjourah district (Tadjourah province), Dikhil district (Dikhil province), Ali Sabieh district (Ali Sabieh province), Obock district (Obock province)",Two consecutive failed rainy seasons,Famine,,,,Yes,2800,,Km2,,,,,2005,4,,2006,4,,,,150000,,150000,,,,,,,72.07141045,2,,15272;15274;15278;15282,"Ali Sabieh, Dikhil, Obock, Tadjourah (Adm2)."
2006-9233-GNB,2006,9233,,Natural,Climatological,Drought,Drought,,,Guinea-Bissau,GNB,Western Africa,Africa,"Quinara, Tombali provinces, Bolama/Bijagos Isl.(=province)",,Famine,,,,,,,Km2,,,,,2006,5,,2006,5,,,,32000,,32000,,,,,,,74.39638749,1,1387;1391;1393,,"Bolama/bijagos, Quinara, Tombali (Adm1)."
2005-9637-MDG,2005,9637,,Natural,Climatological,Drought,Drought,,,Madagascar,MDG,Eastern Africa,Africa,Vangaindrano district (Atsimo Atsinanana province),"Locust infestation, repeated floods, pest infestation",Famine,Food shortage,,,,,,Km2,,,,,2005,11,,2006,12,,,,14000,,14000,,,,,,,72.07141045,2,,154550,Vangaindrano (Adm2).
2005-9578-MWI,2005,9578,,Natural,Climatological,Drought,Drought,,,Malawi,MWI,Eastern Africa,Africa,"Southern Region, Central Region provinces",Poor rainfall and indequater supplies of fertlizer,Famine,Food shortage,,,,,,Km2,,,,,2005,10,,2006,3,,,,5100000,,5100000,,,,,,,72.07141045,1,1888;1890,,"Central Region, Southern Region (Adm1)."
2005-9362-NER,2005,9362,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"Tillaberi, Tahoua, Diffa, Zinder, Maradi provinces",Drought and locusts infestation,Famine,Food shortage,Yes,,,100588,,Km2,,,,,2005,7,,2006,7,,,,3000000,,3000000,,,,,,,72.07141045,1,2203;2205;2207;2208;2209,,"Diffa, Maradi, Tahoua, Tillaberi, Zinder (Adm1)."
2005-9262-MOZ,2005,9262,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,"Maputo, Gaza, Inhambane, Manica, Sofala, Zambezia, Tete provinces",Poor and erratic rainfall,Crop failure,Food shortage,,,,,,Km2,,,,,2005,5,,2006,,,,,1400000,,1400000,,,,,,,72.07141045,1,2113;2114;2115;2120;2121;2122;41373,,"Gaza, Inhambane, Manica, Maputo, Sofala, Tete, Zambezia (Adm1)."
2005-9142-MLI,2005,9142,,Natural,Climatological,Drought,Drought,,,Mali,MLI,Western Africa,Africa,"Mopti, Kayes, Tombouctou, Gao provinces",,Food shortage,,,,,,,Km2,,,,,2005,,,2006,,,,,1000000,,1000000,,,,,,,72.07141045,1,1927;1928;1931;1934,,"Gao, Kayes, Mopti, Tombouctou (Adm1)."
2005-9722-SOM,2005,9722,,Natural,Climatological,Drought,Drought,,,Somalia,SOM,Eastern Africa,Africa,"Gedo, Bakool, Bay, Hiraan, Juba Hoose, Juba Dhexe provinces",,Food shortage,,,,,,,Km2,,,,,2005,,,2005,,,2,,,,,,,,,,,72.07141045,1,2689;2691;2694;2695;2696;2698,,"Bakool, Bay, Gedo, Hiraan, Juba Dhexe, Juba Hoose (Adm1)."
2005-9719-KEN,2005,9719,,Natural,Climatological,Drought,Drought,,,Kenya,KEN,Eastern Africa,Africa,"Makueni, Kitui, Marsabit, Isiolo, Mwingi, Kitui, Moyale districts (Eastern province), Malindi, Kwale, Kilifi, Taita Taveta, Tana river districts (Coast province), Mandera, Wajir, Garissa, Ijara districts (North Eastern province), Kajiado, Turkana, Samburu, Laikipia districts (Rift Valley province).",Lack of rains,Famine,,,Yes,Yes,,,Km2,,,,,2005,12,,2006,,,27,,3500000,,3500000,,,,,,,72.07141045,2,,51340;51341;51343;51345;51346;51348;51349;51351;51352;51357;51358;51361;51362;51363;51364;51380;51384;51389;51392,"Garissa, Ijara, Isiolo, Kajiado, Kilifi, Kitui, Kwale, Laikipia, Makueni, Malindi, Mandera, Marsabit, Moyale, Mwingi, Samburu, Taita Taveta, Tana River, Turkana, Wajir (Adm2)."
2005-9163-UGA,2005,9163,,Natural,Climatological,Drought,Drought,,,Uganda,UGA,Eastern Africa,Africa,"Rupa, Nadunget subcounties (Moroto province); Nyakwae subcounty (Abim province); Kalapata city (Dodoth district, Kaabong province) (Karamoja region)",,,,,,,,,Km2,,,,,2005,3,,2006,3,,,,600000,,600000,,,,,,,72.07141045,1;2,743;765;772,28453,"Abim, Kotido, Moroto (Adm1). Dodoth (Adm2)."
2006-9756-TZA,2006,9756,,Natural,Climatological,Drought,Drought,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Arusha, Manyara, Kilimanjaro provinces",,,Food shortage,,,,,,Km2,,,,,2006,,,2006,,,,,3700000,,3700000,,,,,,,74.39638749,1,48357;48363;48365,,"Arusha, Kilimanjaro, Manyara (Adm1)."
2006-9425-MLI,2006,9425,,Natural,Climatological,Drought,Drought,,,Mali,MLI,Western Africa,Africa,Kidal province,Scarcity of rain,Famine,,,Yes,,,,Km2,,,,,2006,8,,2006,9,,,,25000,,25000,,,,,,,74.39638749,1,1929,,Kidal (Adm1).
2005-9403-ZMB,2005,9403,,Natural,Climatological,Drought,Drought,,,Zambia,ZMB,Eastern Africa,Africa,"Southern, Western provinces",,Food shortage,,,,,,,Km2,,,,,2005,6,,2005,11,,,,1200000,,1200000,,,,,,,72.07141045,1,3433;3434,,"Southern, Western (Adm1)."
2007-9676-DJI,2007,9676,,Natural,Climatological,Drought,Drought,,,Djibouti,DJI,Eastern Africa,Africa,NO DATA: all country selected,,,,,,,,,Km2,,,,,2007,1,,2007,1,,,,42750,,42750,,,,,,,76.5186792,1,1093;1094;1095;1096;1097,,"Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah (Adm1)."
2008-9200-ETH,2008,9200,DR-2008-000043,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Oromia, Somali, Amhara, Afar, Tigray, SNNPR provinces","Heavy drought, weak reany season, loss of animals, food shortages and increase of prices",Famine,Food shortage,,,,,,Km2,,,,,2008,5,,2009,10,,,,6400000,,6400000,,,,,,,79.4563044,1,1228;1229;1236;1237;47678;47679,,"Afar, Amhara, Oromia, SNNPR, Somali, Tigray (Adm1)."
2008-9640-BDI,2008,9640,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Kirundo, Ngozi, Muyinga, Cankuzo, Karuzi, Ruyigi provinces",,Food shortage,,,,,,,Km2,,,,,2008,9,,2009,1,,,,82500,,82500,,,,,,,79.4563044,1,40546;40549;40551;40554;40556;40558,,"Cankuzo, Karuzi, Kirundo, Muyinga, Ngozi, Ruyigi (Adm1)."
2008-9303-DJI,2008,9303,OT-2008-000043,Natural,Climatological,Drought,Drought,,,Djibouti,DJI,Eastern Africa,Africa,"Djibouti, Arta cities (Djibouti district, Djibouti province), Ali Sabieh district (Ali Sabieh province), Obock district (Obock province), Tadjourah district (Tadjourah province), Dikhil district (Dikhil province)",Delayed and below-normal rains,Food shortage,,Yes,,,,,Km2,,,,,2008,7,,2009,,,,,340000,,340000,,,,,,,79.4563044,2,,15272;15274;15276;15278;15282,"Ali Sabieh, Dikhil, Djibouti, Obock, Tadjourah (Adm2)."
2008-9200-ERI,2008,9200,DR-2008-000043,Natural,Climatological,Drought,Drought,,,Eritrea,ERI,Eastern Africa,Africa,"Achipelagos, Semenawi Keih Bahri provinces (Northern Red Sea Region), Debubawi Keih Bahri province (Southern Red Sea Region), Anseba, Debub provinces",,,,,,,,,Km2,,,,,2008,10,,2008,10,,,,1700000,,1700000,,,,,,,79.4563044,1,1205;1206;1207;1208;1211,,"Anseba, Archipelagos, Debub, Debubawi Keih Bahri, Semenawi Keih Bahri (Adm1)."
2007-9494-LSO,2007,9494,,Natural,Climatological,Drought,Drought,,,Lesotho,LSO,Southern Africa,Africa,"Maseru, Mafeteng, Leribe, Butha Buthe, Berea, Mohale's Hoek, Quthing provinces (Lowlands region)",,Food shortage,,Yes,Yes,,,,Km2,,,,,2007,7,,2008,,,,,475000,,475000,,,,,,,76.5186792,1,1803;1804;1805;1806;1807;1808;1811,,"Berea, Butha Buthe, Leribe, Mafeteng, Maseru, Mohale's Hoek, Quthing (Adm1)."
2007-9343-MOZ,2007,9343,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,"Gaza, Inhambane, Manica, Sofala, Maputo provinces (Centre and south of the country)","Drought, cyclone et inondations",Food shortage,,,,,,,Km2,,,,,2007,8,,2007,8,,,,520000,,520000,,,,,,,76.5186792,1,2113;2114;2115;2120;41373,,"Gaza, Inhambane, Manica, Maputo, Sofala (Adm1)."
2007-9288-SWZ,2007,9288,,Natural,Climatological,Drought,Drought,,,Eswatini,SWZ,Southern Africa,Africa,"Hhohho, Lubombo, Manzini, Shiselweni provinces",,Famine,,,,Yes,15000,,Km2,,,,,2007,7,,2007,,,,,410000,,410000,,,,,,,76.5186792,1,2782;2783;2784;2785,,"Hhohho, Lubombo, Manzini, Shiselweni (Adm1)."
2007-9499-MWI,2007,9499,,Natural,Climatological,Drought,Drought,,,Malawi,MWI,Eastern Africa,Africa,"Karonga, Mzimba districts (Northern Region province), Ntchisi district (Central Region province), Mulanje district (Southern Region province)",,,,,,,,,Km2,,,,,2007,10,,2007,,,,,520000,,520000,,,,,,,76.5186792,2,,19314;19317;19318;42176,"Karonga, Mulanje, Mzimba, Ntchisi (Adm2)."
2008-9644-MDG,2008,9644,,Natural,Climatological,Drought,Drought,,,Madagascar,MDG,Eastern Africa,Africa,"Atsimo Andrefana, Androy, Anosy provinces",,Food shortage,,,,,,,Km2,,,,,2008,,,2011,,,,,720000,,720000,,,,,,,79.4563044,1,41754;41755;41756,,"Androy, Anosy, Atsimo Andrefana (Adm1)."
2008-9590-MOZ,2008,9590,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,"Maputo, Gaza, Inhambane, Manica, Sofala, Tete provinces",Lack of rains and increase of food prices,Food shortage,,Yes,,,,,Km2,,,,,2008,12,,2009,,,,,500000,,500000,,,,,,,79.4563044,1,2113;2114;2115;2120;2121;41373,,"Gaza, Inhambane, Manica, Maputo, Sofala, Tete (Adm1)."
2008-9468-SOM,2008,9468,,Natural,Climatological,Drought,Drought,,,Somalia,SOM,Eastern Africa,Africa,"Matabaan city, Belet Weyne district (Hiraan province)",,Food shortage,,,,,,,Km2,,,,,2008,1,,2009,4,,,,3300000,,3300000,,,,,,,79.4563044,2,,25684,Belet Weyne (Adm2).
2008-9307-UGA,2008,9307,OT-2008-000164,Natural,Climatological,Drought,Drought,,,Uganda,UGA,Eastern Africa,Africa,"Nakapiripit, Kodito, Abim provinces (Karamoja region, North-East)",Lack of rains,Food shortage,,Yes,,,,,Km2,,,,,2008,7,,2009,10,,,,1100000,,1100000,,,,,,,79.4563044,1,743;765;773,,"Abim, Kotido, Nakapiripirit (Adm1)."
2008-9302-KEN,2008,9302,OT-2008-000098,Natural,Climatological,Drought,Drought,,,Kenya,KEN,Eastern Africa,Africa,"Sacho, Marigat, Mukutani, Tenges, Kolowa, Tangulbei, Nginyang cities/towns (Baringo district, Rift Valley province), Samburu district (Rift valley province), Turkana, West Pokot, Administrative Unit Not Available districts (North Rift Valley province), Central, Eastern, North Eastern, Coast provinces",Poor November rain,,,Yes,,,,,Km2,,,,,2008,7,,2009,,,4,,3800000,,3800000,,,,,,,79.4563044,1;2,51325;51326;51327;51329,51377;51389;51392;51394;61001,"Central, Coast, Eastern, North Eastern (Adm1). Administrative unit not available, Baringo, Samburu, Turkana, West Pokot (Adm2)."
2007-9675-ZWE,2007,9675,JT-2008-000097,Natural,Climatological,Drought,Drought,,,Zimbabwe,ZWE,Eastern Africa,Africa,"Masvingo, Matabeleland North, Matabeleland South, Midlands, Manicaland, Mashonaland Central, Mashonaland East, Mashonaland West provinces",,Food shortage,,,,,,,Km2,,,,,2007,1,,2009,6,,,,2100000,,2100000,,,,,,,76.5186792,1,3437;3438;3440;3441;3443;3444;69549;69550,,"Manicaland, Mashonaland Central, Mashonaland East, Mashonaland West, Masvingo, Matabeleland North, Matabeleland South, Midlands (Adm1)."
2009-9634-BDI,2009,9634,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Kirundo, Bugabira, Busoni districts (Kirundo province)",Failed rains,Food shortage,,,,,,,Km2,,,,,2009,12,,2010,2,,,,180000,,180000,,,,,,,79.17380276,2,,40638;40639;40642,"Bugabira, Busoni, Kirundo (Adm2)."
